## Chapter 1: Intro
0:033 secondsbeing an entrepreneur is like one of the most natural things that you can do
0:1111 secondsI had six employees in October and now I'm saying that it's going to be worth a billion dollars in 12 months
0:2121 secondsI am having to impose order on chaos
0:3838 secondsyou bang your head against the wall for 10 years and then all of a sudden it's way more success than you ever thought possible all at once
0:4848 secondsand it's just so wild to think about how much things have changed right since yesterday the house rejected the
0:5757 seconds700 billion dollar bailout plan sending shock waves through Wall Street Lehman Brothers is going bankrupt in financial
1:041 minute, 4 secondsmarkets from Asia I worked at Lehman Brothers in that environment
12:0012 minutesand I would miss out on a lot at the time which is incredibly valuable and then there's a burnout component I could
12:0712 minutes, 7 secondsnot do 12 to 14 hours a day six to seven days a week
12:2312 minutes, 23 seconds[Music]
12:2912 minutes, 29 secondslike it sounded like a little lamb so I called her my lamb baby oh and Judy got her bunch of cute little lamb toys
12:3812 minutes, 38 secondsessentially he's definitely prioritizing us which he should
12:4512 minutes, 45 secondsit's just been a bit I don't know I'm just tired
12:5312 minutes, 53 seconds[Music]
12:5712 minutes, 57 secondsthis is a unique moment where you're scaling and it's before you have help
13:0113 minutes, 1 second[Music]
13:0413 minutes, 4 secondsit's just hard to describe you know the combination of like pressure and like pulled a bunch of different ways imagine yourself just walking down the
13:1313 minutes, 13 secondsstreet minding your own business all of a sudden a group of
13:2113 minutes, 21 seconds10 people just sort of forms around you and they quietly start saying your name Adam
13:3213 minutes, 32 secondsit gets louder up it's all things that you need to handle
13:3913 minutes, 39 secondsbecause everybody else is doing other stuff and underwater you don't want to shuffle stuff on them
13:4813 minutes, 48 secondsI can't go on like this everything Adam has done prior to this
## Chapter 4: Leadership
14:0014 minuteshas led to this moment in his life where you know he was prepared to kind of transform his life
14:0714 minutes, 7 secondsright and turn this around in some ways you know he's changed his reality it feels weird to me to be in a position
14:1514 minutes, 15 secondswhere I'm like guys please help me take stuff off of my plate maybe it's like it feels like the wrong
14:2214 minutes, 22 secondsexample of leadership how we have always behaved collectively it's been like four or six wildly productive individuals
14:3014 minutes, 30 secondsthat just did everything you're doing very well it's just that the team it's not that's what Santos keeps reminding me he's like dude like
14:3914 minutes, 39 secondsas frustrated as you are remember like this was your dream and he's right
14:4614 minutes, 46 secondsthere's so much growth ahead but you don't know exactly what it looks like but like it's this window into a
14:5414 minutes, 54 secondsworld that you've always wanted to go to
14:5914 minutes, 59 seconds[Music]
15:0215 minutes, 2 secondswe hired 11 people today I literally woke up this morning and I messaged a couple of the other VPS I'm
15:1115 minutes, 11 secondslike this is the first day of the path to 100 million we had a marketing person start today
15:2015 minutes, 20 secondsshe said I'm Amazed by how energized your team is about the opportunity ahead that makes
15:2915 minutes, 29 secondsme feel amazing like I'm doing something right in communicating in a very clear way
15:3615 minutes, 36 secondswhat we have to do and how amazing it will be if we all work together and do it
15:4515 minutes, 45 secondsentrepreneurs create their own reality right and he's focusing on something really big really positive it's not just
15:5215 minutes, 52 secondshim but the entire team is now focusing on this because these things are infectious right
15:5715 minutes, 57 seconds[Music]
15:5815 minutes, 58 secondswe can create this energy in the world that will make people so excited about what we're doing that we're the only
16:0616 minutes, 6 secondsthing that's on their mind this is not scientific
16:0816 minutes, 8 seconds[Music]
16:1416 minutes, 14 secondsthis is what I'm doing right now it's manifesting itself through how I communicate my vision for this year all
16:2216 minutes, 22 secondsof it is creating this pulse in people that if you ask anybody that's working
16:3016 minutes, 30 secondson this right now they all feel it
16:3416 minutes, 34 seconds[Music]
16:3616 minutes, 36 secondsI have lived two entirely different professional lives like I've started two
16:4416 minutes, 44 secondscompanies sold one of them like I've hired and fired a hundred people right like I have
16:5216 minutes, 52 secondslearned the hard way so many times and I'm in this incredible place of Good Fortune where I have a business that is
17:0017 minutessuccessful enough to where I can be like you know what I'm gonna try to only do stuff that
17:0717 minutes, 7 secondsgives me energy because like I feel like that gets projected to the outside world through all this content that I'm making
17:1517 minutes, 15 secondsprojected to my executive team and then through their employees and out to customers I'm like giving everything I
17:2317 minutes, 23 secondscan so it's like if you're giving everything you can and it's giving you energy it's Paradise
